R_01  | X19-S32 | ne100-ne101 | R_37 | X60-S67 | ne100-ne101 | - | - | - | -
R_02  | S32-S91 | ne101-ne912 | R_42 | S67-S112 | ne101-ne912 | - | - | - | -
R_03  | C62-S04 | ne104-ne384 | R_11 | T14-S125 | ne104-ne384-ne297 | - | - | - | Route inside another. The same path, direction and orientation, but more elements protected and  greater distance traveled
R_04  | B44-S04 | ne110-ne384 | R_47 | B75-S125 | ne110-ne384-ne297 | - | - | - | Route inside another. The same path, direction and orientation, but more elements protected and  greater distance traveled
R_05  | S87-T08 | ne114-ne102 | R_32 | J48-T11 | ne114-ne102 | - | - | - | -
R_06  | B86-S87 | ne132-ne114 | R_30 | J46-L29 | ne132-ne114 | - | - | - | -
R_07  | C89-C31 | ne132-ne912 | R_31 | J47-J45 | ne132-ne912 | - | - | - | -
R_08  | S08-T03 | ne290-ne111-ne377 | R_71 | S94-T03 | ne290-ne111-ne377 | - | - | - | -
R_09  | C35-T01 | ne290-ne991 | R_23 | J35-T01 | ne290-ne991 | - | - | - | -
R_10  | S09-C35 | ne292-ne290 | R_25 | J37-J35 | ne292-ne290 | - | - | - | -
R_11  | S45-T01 | ne295-ne288-ne991 | R_46 | C74-T01 | ne295-ne288-ne991 | - | - | - | -
R_12  | B47-S40 | ne295-ne297 | R_50 | C77-S125 | ne295-ne297 | - | - | - | -
R_13  | C43-S45 | ne297-ne295 | R_53 | S79-C74 | ne297-ne295 | - | - | - | -
R_14  | S40-T02 | ne297-ne995 | R_87 | S125-T27 | ne297-ne995 | - | - | - | -
R_15  | S40-X15 | ne297-ne997-ne996-ne98 | R_88 | S125-J38 | ne297-ne997-ne996 | R_26 | J38-L30 | ne996-ne98 | Sum of routes. RNA generate two routes that cover a one route of RailML example.
R_16  | S06-C35 | ne377-ne111-ne290 | R_03 | T04-J35 | ne377-ne111-ne290 | - | - | - | -
R_17  | S06-T10 | ne377-ne113 | R_02 | T04-T15 | ne377-ne113 | - | - | - | -
R_18  | S04-S40 | ne384-ne297 | R_47 | B75-S125 | ne110-ne384-ne297 | R_11 | T14-S125 | ne104-ne384-ne297 | One route of RailML example exits in two routes of RNA routes, due to switch SW02 that it can be in reverse or normal position.
R_19  | C56-S58 | ne400-ne404 | R_56 | S82-C84 | ne400-ne404 | - | - | - | -
R_20  | C56-S03 | ne400-ne407 | R_57 | S82-S101 | ne400-ne407 | - | - | - | -
R_21  | S28-T04 | ne400-ne993 | R_68 | S91-T25 | ne400-ne993 | - | - | - | -
